,Soundfile,Left time (sec),Right time (sec),Top freq (Hz),Bottom freq (Hz),Species,Call Type,Comments,Unnamed: 8
46,ICLISTENHF1251_20130520T185343.707Z.wav,266.72496,268.11821,4264.47,786.83,Oo,PC,BKW,
47,ICLISTENHF1251_20130520T185343.707Z.wav,268.28106,269.49337,11857.88,1028.25,Oo,PC,BKW,
48,ICLISTENHF1251_20130520T185343.707Z.wav,272.4608,273.0579,2217.8,540,Oo,PC,BKW,
49,ICLISTENHF1251_20130520T185343.707Z.wav,273.03981,275.97105,8700.02,332.37,Oo,PC,BKW,
50,ICLISTENHF1251_20130520T185343.707Z.wav,279.02894,280.18696,13608.55,892.8,Oo,PC,BKW,
51,ICLISTENHF1251_20130520T185343.707Z.wav,286.30277,287.4608,7405.95,641.55,Oo,PC,BKW,
52,ICLISTENHF1251_20130520T185343.707Z.wav,291.22437,292.70808,12276.87,941.74,Oo,PC,BKW,
53,ICLISTENHF1251_20130520T185343.707Z.wav,298.1725,299.60193,11186.07,941.74,Oo,PC,BKW,
54,ICLISTENHF1251_20130520T185843.706Z.wav,11.52593,12.99156,6607.51,846.02,Oo,PC,BKW,
55,ICLISTENHF1251_20130520T185843.706Z.wav,32.91315,34.54162,9586.17,1140.7,Oo,PC,BKW,
56,ICLISTENHF1251_20130520T185843.706Z.wav,45.25332,46.35705,7041.7,958.54,Oo,PC,BKW,
57,ICLISTENHF1251_20130520T185843.706Z.wav,46.57419,48.18456,7313.45,384.48,Oo,PC,BKW,
58,ICLISTENHF1251_20130520T185843.706Z.wav,48.05789,49.34258,11720.9,583.34,Oo,PC,BKW,
59,ICLISTENHF1251_20130520T185843.706Z.wav,50.8263,52.40048,9245.44,678.75,Oo,PC,BKW,
60,ICLISTENHF1251_20130520T185843.706Z.wav,51.94813,53.17853,9357.87,846.02,Oo,PC,BKW,
61,ICLISTENHF1251_20130520T185843.706Z.wav,54.82508,56.54403,14891.3,861.39,Oo,PC,BKW,
62,ICLISTENHF1251_20130520T185843.706Z.wav,60.37997,61.79131,10056.68,1028.25,Oo,PC,BKW,
63,ICLISTENHF1251_20130520T185843.706Z.wav,62.94933,64.12545,13454.9,1102.14,Oo,PC,BKW,
64,ICLISTENHF1251_20130520T185843.706Z.wav,70.07841,71.45356,13302.69,1140.7,Oo,PC,BKW,
65,ICLISTENHF1251_20130520T185843.706Z.wav,74.74667,76.13993,9023.95,815.98,Oo,PC,BKW,
66,ICLISTENHF1251_20130520T185843.706Z.wav,77.38842,78.49216,12135.86,1160.41,Oo,PC,BKW,
67,ICLISTENHF1251_20130520T185843.706Z.wav,88.89626,90.01809,6195.85,1064.66,Oo,PC,BKW,
68,ICLISTENHF1251_20130520T185843.706Z.wav,95.71773,96.82147,6778.43,1725.9,Oo,PC,BKW,
69,ICLISTENHF1251_20130520T185843.706Z.wav,102.79252,104.24004,6607.51,861.39,Oo,PC,BKW,
70,ICLISTENHF1251_20130520T185843.706Z.wav,105.94089,107.26175,8385.83,908.88,Oo,PC,BKW,
71,ICLISTENHF1251_20130520T185843.706Z.wav,108.51025,109.5778,9819.07,1263.22,Oo,PC,BKW,
72,ICLISTENHF1251_20130520T185843.706Z.wav,124.07116,125.39204,7981.67,1306.42,Oo,PC,BKW,
73,ICLISTENHF1251_20130520T185843.706Z.wav,126.31484,127.79855,14398.95,509.27,Oo,PC,BKW,
74,ICLISTENHF1251_20130520T185843.706Z.wav,132.26779,133.38963,7499.42,876.98,Oo,PC,BKW,
75,ICLISTENHF1251_20130520T185843.706Z.wav,134.02291,135.45235,2991.95,1064.66,Oo,PC,BKW,
76,ICLISTENHF1251_20130520T185843.706Z.wav,141.26055,142.85283,4148.43,908.88,Oo,PC,BKW,
77,ICLISTENHF1251_20130520T185843.706Z.wav,142.68999,144.1737,9357.87,892.8,Oo,PC,BKW,
78,ICLISTENHF1251_20130520T185843.706Z.wav,153.9807,155.41013,3311.11,1221.22,Oo,PC,BKW,
79,ICLISTENHF1251_20130520T185843.706Z.wav,159.77081,160.72979,3606.8,666.16,Oo,PC,BKW,
80,ICLISTENHF1251_20130520T185843.706Z.wav,162.8468,164.29432,6357.87,892.8,Oo,PC,BKW,
81,ICLISTENHF1251_20130520T185843.706Z.wav,165.81421,166.75513,4443.66,861.39,Oo,PC,BKW,
82,ICLISTENHF1251_20130520T185843.706Z.wav,175.4222,176.43546,3505.89,908.88,Oo,PC,BKW,
83,ICLISTENHF1251_20130520T185843.706Z.wav,178.73341,179.94572,3924.17,830.89,Oo,PC,BKW,
84,ICLISTENHF1251_20130520T185843.706Z.wav,185.13872,186.55006,15569.51,1064.66,Oo,PC,BKW,
85,ICLISTENHF1251_20130520T185843.706Z.wav,191.29071,192.61158,11720.9,1028.25,Oo,PC,BKW,
86,ICLISTENHF1251_20130520T185843.706Z.wav,195.85042,196.91796,10671.74,1200.66,Oo,PC,BKW,
87,ICLISTENHF1251_20130520T185843.706Z.wav,199.8854,201.27864,7499.42,876.98,Oo,PC,BKW,
88,ICLISTENHF1251_20130520T185843.706Z.wav,232.0386,232.87093,4091.39,1160.41,Oo,PC,BKW,
89,ICLISTENHF1251_20130520T185843.706Z.wav,238.02774,239.56574,8181.67,325.43,Oo,PC,BKW,
90,ICLISTENHF1251_20130520T185843.706Z.wav,247.58142,249.10133,9819.07,305.32,Oo,PC,BKW,
91,ICLISTENHF1251_20130520T185843.706Z.wav,251.924,253.73341,12708.12,594.61,Oo,PC,BKW,
92,ICLISTENHF1251_20130520T185843.706Z.wav,258.6007199,259.9035001,7221.91,3979.27,Oo,,BKW,
93,ICLISTENHF1251_20130520T185843.706Z.wav,259.77684,261.29674,8489.49,1010.44,Oo,PC,BKW,
94,ICLISTENHF1251_20130520T185843.706Z.wav,271.19421,272.55126,3171.02,1467.44,Oo,PC,BKW,
95,ICLISTENHF1251_20130520T185843.706Z.wav,274.30639,275.86248,3710.13,339.43,Oo,PC,BKW,
96,ICLISTENHF1251_20130520T185843.706Z.wav,278.14233,279.13752,6116.14,892.8,Oo,PC,BKW,
97,ICLISTENHF1251_20130520T185843.706Z.wav,288.65501,290.33776,7221.91,641.55,Oo,PC,BKW,
98,ICLISTENHF1251_20130520T185843.706Z.wav,292.49094,293.34138,5019.22,876.98,Oo,PC,BKW,
99,ICLISTENHF1251_20130520T190343.707Z.wav,12.8468,13.91435,4566.55,846.02,Oo,PC,BKW,
100,ICLISTENHF1251_20130520T190343.707Z.wav,18.3293,19.50543,9245.44,1102.14,Oo,PC,BKW,
101,ICLISTENHF1251_20130520T190343.707Z.wav,21.56815,22.87093,9245.44,1010.44,Oo,PC,BKW,
102,ICLISTENHF1251_20130520T190343.707Z.wav,26.39928,27.59348,6607.51,1083.26,Oo,PC,BKW,
103,ICLISTENHF1251_20130520T190343.707Z.wav,37.14717,38.39566,5155.21,1140.7,Oo,PC,BKW,
104,ICLISTENHF1251_20130520T190343.707Z.wav,45.21713,46.79131,6276.42,653.76,Oo,PC,BKW,
105,ICLISTENHF1251_20130520T190343.707Z.wav,58.80578,60.14475,5019.22,1284.67,Oo,PC,BKW,
106,ICLISTENHF1251_20130520T190343.707Z.wav,59.94572,61.5199,7689.32,678.75,Oo,PC,BKW,
107,ICLISTENHF1251_20130520T190343.707Z.wav,124.08925,125.37394,3869.72,1373.52,Oo,PC,BKW,
108,ICLISTENHF1251_20130520T190343.707Z.wav,129.96984,131.61641,4091.39,758.55,Oo,PC,BKW,
109,ICLISTENHF1251_20130520T190343.707Z.wav,139.16164,140.50059,3815.9,744.73,Oo,PC,BKW,
110,ICLISTENHF1251_20130520T190343.707Z.wav,151.30277,152.89505,4443.66,629.54,Oo,PC,BKW,
111,ICLISTENHF1251_20130520T190343.707Z.wav,158.92039,160.3679,5508.68,861.39,Oo,PC,BKW,
112,ICLISTENHF1251_20130520T190343.707Z.wav,169.16164,170.44631,7221.91,1102.14,Oo,PC,BKW,
113,ICLISTENHF1251_20130520T190343.707Z.wav,170.69964,171.64053,6865.26,1064.66,Oo,PC,BKW,
114,ICLISTENHF1251_20130520T190343.707Z.wav,172.50905,173.73945,2991.95,830.89,Oo,PC,BKW,
115,ICLISTENHF1251_20130520T190343.707Z.wav,178.44391,179.72858,3556.05,846.02,Oo,PC,BKW,
116,ICLISTENHF1251_20130520T190343.707Z.wav,180.56092,182.00844,7405.95,2580.77,Oo,,BKW,
117,ICLISTENHF1251_20130520T190343.707Z.wav,182.67793,183.87214,8594.22,2357.51,Oo,PC,BKW,
118,ICLISTENHF1251_20130520T190343.707Z.wav,184.19783,186.31484,5581.74,717.73,Oo,PC,BKW,
119,ICLISTENHF1251_20130520T190343.707Z.wav,190.56695,191.6345,3217.16,758.55,Oo,PC,BKW,
120,ICLISTENHF1251_20130520T190343.707Z.wav,192.99156,194.11339,5655.61,1160.41,Oo,PC,BKW,
121,ICLISTENHF1251_20130520T190343.707Z.wav,200.59107,201.76719,2739.19,606.07,Oo,PC,BKW,
122,ICLISTENHF1251_20130520T190343.707Z.wav,213.13028,214.84922,3979.27,641.55,Oo,PC,BKW,
123,ICLISTENHF1251_20130520T190343.707Z.wav,223.1544,224.29433,5581.74,892.8,Oo,PC,BKW,
124,ICLISTENHF1251_20130520T190343.707Z.wav,224.87334,226.2304,3125.44,572.24,Oo,PC,BKW,
125,ICLISTENHF1251_20130520T190343.707Z.wav,226.73703,227.62364,2863.24,1306.42,Oo,PC,BKW,
126,ICLISTENHF1251_20130520T190343.707Z.wav,229.08926,230.5006,6953.01,1180.39,Oo,PC,BKW,
127,ICLISTENHF1251_20130520T190343.707Z.wav,241.32087,242.24367,3125.44,666.16,Oo,PC,BKW,
128,ICLISTENHF1251_20130520T190343.707Z.wav,244.01689,245.93485,7499.42,786.83,Oo,PC,BKW,
129,ICLISTENHF1251_20130520T190343.707Z.wav,248.73945,249.98794,7131.33,1419.84,Oo,PC,BKW,
130,ICLISTENHF1251_20130520T190343.707Z.wav,249.53558,250.72979,3924.17,1102.14,Oo,PC,BKW,
131,ICLISTENHF1251_20130520T190343.707Z.wav,251.6345,252.81062,3407.34,666.16,Oo,PC,BKW,
132,ICLISTENHF1251_20130520T190343.707Z.wav,252.64776,254.51146,12708.12,617.71,Oo,PC,BKW,
133,ICLISTENHF1251_20130520T190343.707Z.wav,255.8866,257.08082,6195.85,892.8,Oo,PC,BKW,
134,ICLISTENHF1251_20130520T190343.707Z.wav,264.31846,265.94691,7131.33,892.8,Oo,PC,BKW,
135,ICLISTENHF1251_20130520T190343.707Z.wav,269.3848,270.70567,5959.28,731.13,Oo,PC,BKW,
136,ICLISTENHF1251_20130520T190343.707Z.wav,270.77805,271.79131,8181.67,1010.44,Oo,PC,BKW,
137,ICLISTENHF1251_20130520T190343.707Z.wav,295.89264,297.77443,11720.9,861.39,Oo,PC,BKW,
138,ICLISTENHF1251_20130520T190843.708Z.wav,1.77322,2.91315,4886.22,772.58,Oo,PC,BKW,
139,ICLISTENHF1251_20130520T190843.708Z.wav,6.45959,7.58142,2863.24,815.98,Oo,PC,BKW,
140,ICLISTENHF1251_20130520T190843.708Z.wav,15.94089,17.11701,2991.95,815.98,Oo,PC,BKW,
141,ICLISTENHF1251_20130520T190843.708Z.wav,27.68396,28.96864,6953.01,892.8,Oo,PC,BKW,
142,ICLISTENHF1251_20130520T190843.708Z.wav,38.59469,40.00603,7981.67,678.75,Oo,PC,BKW,
143,ICLISTENHF1251_20130520T190843.708Z.wav,48.99879,50.37394,5730.29,941.74,Oo,PC,BKW,
144,ICLISTENHF1251_20130520T190843.708Z.wav,55.62122,57.95537,7221.91,1028.25,Oo,PC,BKW,
145,ICLISTENHF1251_20130520T190843.708Z.wav,64.36068,65.84439,6037.29,678.75,Oo,PC,BKW,
146,ICLISTENHF1251_20130520T190843.708Z.wav,75.01809,76.91796,7785.76,1102.14,Oo,PC,BKW,
147,ICLISTENHF1251_20130520T190843.708Z.wav,77.11701,77.69602,1644.67,1121.28,Oo,PC,BKW,
148,ICLISTENHF1251_20130520T190843.708Z.wav,292.6538,294.1556,4952.35,744.73,Oo,PC,BKW,
149,ICLISTENHF1251_20130623T072000.109Z.wav,28.19058,28.80578,3080.4,1140.7,Oo,PC,BKW,
150,ICLISTENHF1251_20130623T072000.109Z.wav,64.30638,65.30157,1810.44,717.73,Oo,PC,BKW,
151,ICLISTENHF1251_20130623T073000.111Z.wav,24.77081,25.56694,3762.7,1028.25,Oo,PC,BKW,
152,ICLISTENHF1251_20130623T073000.111Z.wav,34.25211,35.68153,3125.44,908.88,Oo,PC,BKW,
153,ICLISTENHF1251_20130623T073000.111Z.wav,65.55489,66.47768,3407.34,801.29,Oo,PC,BKW,
154,ICLISTENHF1251_20130623T073000.111Z.wav,77.17128,77.78649,2252.07,830.89,Oo,PC,BKW,
155,ICLISTENHF1251_20130623T073000.111Z.wav,78.61882,79.46924,2739.19,1221.22,Oo,PC,BKW,
156,ICLISTENHF1251_20130623T073000.111Z.wav,79.8854,80.66345,2430.07,550.57,Oo,PC,BKW,
157,ICLISTENHF1251_20130623T073000.111Z.wav,84.4994,86.10977,3311.11,815.98,Oo,PC,BKW,
158,ICLISTENHF1251_20130623T073000.111Z.wav,86.77925,88.00964,2698.84,1102.14,Oo,PC,BKW,
159,ICLISTENHF1251_20130623T073000.111Z.wav,92.40651,93.27503,3762.7,815.98,Oo,PC,BKW,
160,ICLISTENHF1251_20130623T073000.111Z.wav,93.43788,94.17973,2821.38,641.55,Oo,PC,BKW,
161,ICLISTENHF1251_20130623T073000.111Z.wav,102.64777,103.28106,4035,1046.3,Oo,PC,BKW,
162,ICLISTENHF1251_20130623T073000.111Z.wav,103.66104,104.40289,2430.07,1046.3,Oo,PC,BKW,
163,ICLISTENHF1251_20130623T073000.111Z.wav,105,105.99517,3979.27,1350.85,Oo,PC,BKW,
164,ICLISTENHF1251_20130623T073000.111Z.wav,107.02654,108.02171,5294.26,1491.74,Oo,PC,BKW,
165,ICLISTENHF1251_20130623T073000.111Z.wav,116.99637,117.97345,3311.11,1140.7,Oo,PC,BKW,
166,ICLISTENHF1251_20130623T073000.111Z.wav,122.65983,123.23884,4756.18,992.89,Oo,PC,BKW,
167,ICLISTENHF1251_20130623T073000.111Z.wav,123.51025,124.08925,3407.34,786.83,Oo,PC,BKW,
168,ICLISTENHF1251_20130623T073000.111Z.wav,124.43305,125.24729,4206.13,1467.44,Oo,PC,BKW,
169,ICLISTENHF1251_20130623T073000.111Z.wav,125.66345,126.49578,2430.07,1263.22,Oo,PC,BKW,
170,ICLISTENHF1251_20130623T073000.111Z.wav,142.25573,143.19662,4952.35,1350.85,Oo,PC,BKW,
171,ICLISTENHF1251_20130623T073000.111Z.wav,155.04825,156.00724,4629.05,801.29,Oo,PC,BKW,
172,ICLISTENHF1251_20130623T073000.111Z.wav,165.16284,165.66948,8181.67,2217.8,Oo,PC,BKW,
173,ICLISTENHF1251_20130623T073000.111Z.wav,166.79131,167.55126,3311.11,801.29,Oo,PC,BKW,
174,ICLISTENHF1251_20130623T073000.111Z.wav,221.96019,223.89626,3762.7,772.58,Oo,PC,BKW,
175,ICLISTENHF1251_20130623T073000.111Z.wav,232.52714,233.21471,5294.26,846.02,Oo,PC,BKW,
176,ICLISTENHF1251_20130623T073000.111Z.wav,234.04704,235.00603,6865.26,908.88,Oo,PC,BKW,
177,ICLISTENHF1251_20130623T073000.111Z.wav,264.91556,265.74789,4035,925.19,Oo,PC,BKW,
178,ICLISTENHF1251_20130623T073000.111Z.wav,265.9831,266.924,3217.16,325.43,Oo,PC,BKW,
179,ICLISTENHF1251_20130623T073000.111Z.wav,273.99879,275.193,1781.89,691.54,Oo,PC,BKW,
180,ICLISTENHF1251_20130623T073000.111Z.wav,275.22919,276.22437,8914.87,480.04,Oo,PC,BKW,
181,ICLISTENHF1251_20130623T073500.112Z.wav,22.25573,23.32328,8385.83,617.71,Oo,PC,BKW,
182,ICLISTENHF1251_20130623T073500.112Z.wav,23.77563,24.91556,5959.28,629.54,Oo,PC,BKW,
183,ICLISTENHF1251_20130623T073500.112Z.wav,51.29674,52.0386,2580.77,786.83,Oo,PC,BKW,
184,ICLISTENHF1251_20130623T073500.112Z.wav,73.08203,74.31242,7689.32,540,Oo,PC,BKW,
185,ICLISTENHF1251_20130623T073500.112Z.wav,74.76478,76.35706,11450.88,629.54,Oo,PC,BKW,
186,ICLISTENHF1251_20130623T073500.112Z.wav,76.88179,78.09408,7883.21,519.35,Oo,PC,BKW,
187,ICLISTENHF1251_20130623T074000.113Z.wav,14.51145,16.32086,11585.24,2286.77,Oo,W,BKW,
188,ICLISTENHF1251_20130623T074000.113Z.wav,129.7889,130.58504,3311.11,1160.41,Oo,PC,BKW,
189,ICLISTENHF1251_20130623T074000.113Z.wav,136.95416,138.13027,5436.42,758.55,Oo,PC,BKW,
190,ICLISTENHF1251_20130623T074000.113Z.wav,148.48009,150.19902,3311.11,1028.25,Oo,,BKW,
191,ICLISTENHF1251_20130623T074000.113Z.wav,152.7503,153.54643,1064.66,744.73,Oo,PC,BKW,
192,ICLISTENHF1251_20130623T074000.113Z.wav,157.09288,157.79855,6440.19,1010.44,Oo,PC,BKW,
193,ICLISTENHF1251_20130623T074000.113Z.wav,158.30519,159.4994,5655.61,572.24,Oo,PC,BKW,
194,ICLISTENHF1251_20130623T074000.113Z.wav,163.69722,164.62002,4820.85,1046.3,Oo,PC,BKW,
195,ICLISTENHF1251_20130623T074000.113Z.wav,164.80097,165.63329,3762.7,561.32,Oo,PC,BKW,
196,ICLISTENHF1251_20130623T074000.113Z.wav,181.66466,182.78649,5581.74,1566.65,Oo,PC,BKW,
197,ICLISTENHF1251_20130623T074000.113Z.wav,183.29312,184.41496,7041.7,1083.26,Oo,PC,BKW,
198,ICLISTENHF1251_20130623T074000.113Z.wav,184.9035,185.93486,2739.19,876.98,Oo,PC,BKW,
199,ICLISTENHF1251_20130623T074000.113Z.wav,189.08323,190.13269,4323.52,594.61,Oo,PC,BKW,
200,ICLISTENHF1251_20130623T074000.113Z.wav,190.09649,191.38118,4504.76,704.53,Oo,PC,BKW,
201,ICLISTENHF1251_20130623T074000.113Z.wav,191.90591,192.93727,3125.44,629.54,Oo,PC,BKW,
202,ICLISTENHF1251_20130623T074000.113Z.wav,195.14475,195.83233,5086.84,2619.63,Oo,W,BKW,
203,ICLISTENHF1251_20130623T074000.113Z.wav,202.50905,203.17853,5364.95,480.04,Oo,PC,BKW,
204,ICLISTENHF1251_20130623T074000.113Z.wav,213.99879,215.28346,7041.7,470.61,Oo,PC,BKW,
205,ICLISTENHF1251_20130623T074000.113Z.wav,215.28346,216.18818,10671.74,339.43,Oo,PC,BKW,
206,ICLISTENHF1251_20130623T074000.113Z.wav,220.20507,220.98311,6440.19,1046.3,Oo,PC,BKW,
207,ICLISTENHF1251_20130623T074000.113Z.wav,227.4608,228.43788,7499.42,666.16,Oo,PC,BKW,
208,ICLISTENHF1251_20130623T074000.113Z.wav,228.41978,229.48733,9937.29,617.71,Oo,PC,BKW,
209,ICLISTENHF1251_20130623T074000.113Z.wav,229.86731,230.8263,5224.35,519.35,Oo,PC,BKW,
210,ICLISTENHF1251_20130623T074000.113Z.wav,232.50905,233.35946,6276.42,606.07,Oo,PC,BKW,
211,ICLISTENHF1251_20130623T074000.113Z.wav,233.68516,234.4813,2542.38,540,Oo,PC,BKW,
212,ICLISTENHF1251_20130623T074000.113Z.wav,235.87455,237.17732,4756.18,1284.67,Oo,PC,BKW,
213,ICLISTENHF1251_20130623T074000.113Z.wav,241.24849,242.37033,4504.76,731.13,Oo,PC,BKW,
214,ICLISTENHF1251_20130623T074000.113Z.wav,242.35223,243.36549,4952.35,617.71,Oo,PC,BKW,
215,ICLISTENHF1251_20130623T074000.113Z.wav,245.41013,246.87575,3456.32,1200.66,Oo,PC,BKW,
216,ICLISTENHF1251_20130623T074000.113Z.wav,248.90229,249.73462,4148.43,561.32,Oo,PC,BKW,
217,ICLISTENHF1251_20130623T074000.113Z.wav,249.84318,250.72979,9134.14,489.63,Oo,PC,BKW,
218,ICLISTENHF1251_20130623T074000.113Z.wav,253.19058,254.40289,4504.76,704.53,Oo,PC,BKW,
219,ICLISTENHF1251_20130623T074000.113Z.wav,258.5102501,259.7587454,4566.55,678.75,Oo,PC,BKW,
220,ICLISTENHF1251_20130623T074000.113Z.wav,270.21713,270.94089,4035,1698.46,Oo,PC,BKW,
221,ICLISTENHF1251_20130623T074000.113Z.wav,272.1351,272.64174,3311.11,1242.08,Oo,PC,BKW,
222,ICLISTENHF1251_20130623T074500.114Z.wav,112.0386,113.41374,10546.29,489.63,Oo,PC,BKW,
223,ICLISTENHF1251_20130623T074500.114Z.wav,113.59469,114.64415,10926.38,434.41,Oo,PC,BKW,
224,ICLISTENHF1251_20130623T074500.114Z.wav,115.00603,116.07358,3979.27,1010.44,Oo,PC,BKW,
225,ICLISTENHF1251_20130623T074500.114Z.wav,117.39445,118.26297,3815.9,1102.14,Oo,PC,BKW,
226,ICLISTENHF1251_20130623T074500.114Z.wav,146.0012,146.79735,6276.42,744.73,Oo,PC,BKW,
227,ICLISTENHF1251_20130623T074500.114Z.wav,147.15923,148.1544,4820.85,908.88,Oo,PC,BKW,
228,ICLISTENHF1251_20130623T074500.114Z.wav,157.6357,158.77563,8489.49,5224.35,Oo,W,BKW,
229,ICLISTENHF1251_20130623T075000.115Z.wav,108.85404,109.99397,4952.35,561.32,Oo,PC,BKW,
230,ICLISTENHF1251_20130623T075000.115Z.wav,121.73703,123.16647,3762.7,2252.07,Oo,W,BKW,
231,ICLISTENHF1251_20130623T075000.115Z.wav,123.076,123.9445,5508.68,3556.05,Oo,W,BKW,
232,ICLISTENHF1251_20130623T075000.115Z.wav,137.6960194,138.7997501,2430.07,666.16,Oo,,BKW,
233,ICLISTENHF1251_20130623T075000.115Z.wav,155.62726,158.12425,12708.12,1541.34,Oo,W,BKW,
234,ICLISTENHF1251_20130623T075000.115Z.wav,168.41978,169.21592,5294.26,1046.3,Oo,,BKW,
235,ICLISTENHF1251_20130623T075000.115Z.wav,169.5597,170.68154,3407.34,691.54,Oo,,BKW,
236,ICLISTENHF1251_20130623T075000.115Z.wav,195.81423,198.72738,13454.9,461.33,Oo,PC,BKW,
237,ICLISTENHF1251_20130623T075000.115Z.wav,248.75754,250.44029,11585.24,1467.44,Oo,PC,BKW,
