annot_id,filename,offset,end,freq_min,freq_max,start,sound_id_species,kw_ecotype,pod,label,comments,annotator
15,AMAR418.1.20180912T150639Z.wav,365.548,366.582482,1409.6,5474.8,365.548,KW,KWSR,J,S1,Faint,2
16,AMAR418.1.20180912T150639Z.wav,380.937,381.9530091,1724.3,4165.9,380.937,KW,KWSR,J,S1,Faint,2
17,AMAR418.1.20180912T150639Z.wav,391.132,392.1295361,1711.7,4379.9,391.132,KW,KWSR,J,S1,Faint,2
18,AMAR418.1.20180912T150639Z.wav,401.135,402.1325361,1837.5,3964.5,401.135,KW,KWSR,J,S1,Faint,2
19,AMAR418.1.20180912T150639Z.wav,403.531,404.448487,1636.2,4304.3,403.531,KW,KWSR,J,S1,Faint,2
20,AMAR418.1.20180912T150639Z.wav,423.954,424.9188909,2328.4,3838.7,423.954,KW,KWSR,J,S1,Faint,2
21,AMAR418.1.20180912T150639Z.wav,432.813,433.6258073,2504.6,4581.2,432.813,KW,KWSR,J,S1,Faint,2
22,AMAR418.1.20180912T150639Z.wav,434.26,434.9804427,2429.1,5311.2,434.26,KW,KWSR,J,S1,Faint,2
23,AMAR418.1.20180912T150639Z.wav,438.305,439.0131275,2290.6,4203.7,438.305,KW,KWSR,J,S1,Faint,2
24,AMAR418.1.20180912T150639Z.wav,439.05,439.7088665,2328.4,4191.1,439.05,KW,KWSR,J,S1,Faint,2
25,AMAR418.1.20180912T150639Z.wav,447.65,448.4874378,1938.2,4103,447.65,KW,KWSR,J,S1,Faint,2
26,AMAR418.1.20180912T150639Z.wav,459.456,460.238021,2076.7,4153.3,459.456,KW,KWSR,J,S1,Faint,2
27,AMAR418.1.20180912T150639Z.wav,461.685,462.7133243,1799.8,4921.1,461.685,KW,KWSR,J,S1,Faint,2
28,AMAR418.1.20180912T150639Z.wav,480.424,481.3538023,440.5,6746,480.424,KW,KWSR,J,S1,Faint,2
29,AMAR418.1.20180912T150639Z.wav,489.701,490.8032159,427.9,6204.8,489.701,KW,KWSR,J,S1,Faint,2
30,AMAR418.1.20180912T150639Z.wav,588.331,589.8457771,440.5,8130.4,588.331,KW,KWSR,J,S1,,2
31,AMAR418.1.20180912T150639Z.wav,591.447,592.7031567,377.6,6897,591.447,KW,KWSR,J,S1,Weird,2
32,AMAR418.1.20180912T150639Z.wav,688.957,689.9175904,440.5,7841,688.957,KW,KWSR,J,S1,,2
33,AMAR418.1.20180915T220639Z.wav,10.69,11.46182621,300,8835.2,10.69,KW,KWSR,J,S1,Masked by vessel noise,1
34,AMAR418.1.20180915T220639Z.wav,37.028,38.25028873,300,9414.2,37.028,KW,KWSR,J,S1,In vessel noise,1
35,AMAR418.1.20180915T220639Z.wav,50.35,52.4928538,300,9061.8,50.35,KW,KWSR,J,S1,In vessel noise,1
36,AMAR418.1.20180915T220639Z.wav,72.71,73.29,300,7740.3,72.71,KW,KWSR,J,S1,Big upsweep. In vessel noise,1
37,AMAR418.1.20180915T220639Z.wav,73.391,74.08989053,300,7312.4,73.391,KW,KWSR,J,S1,Big upsweep. In vessel noise,1
38,AMAR418.1.20180915T220639Z.wav,129.523,130.5602121,300,12611,129.523,KW,KWSR,J,S1,In vessel noise,1
39,AMAR418.1.20180915T220639Z.wav,166.876,168.0351761,300,4996.6,166.876,KW,KWSR,J,S1,In vessel noise,1
40,AMAR418.1.20180915T220639Z.wav,317.33,318.3017276,427.9,3000,317.33,KW,KWSR,J,S1,In vessel noise,1
41,AMAR418.1.20180915T220639Z.wav,384.049,385.0188261,1044.6,3000,384.049,KW,KWSR,J,S1,In vessel noise,1
42,AMAR418.1.20180915T220639Z.wav,404.265,405.0085345,300,7979.4,404.265,KW,KWSR,J,S1,In vessel noise,1
43,AMAR418.1.20180915T220639Z.wav,421.938,422.8893532,300,5827.2,421.938,KW,KWSR,J,S1,In vessel noise,1
44,AMAR418.1.20180915T220639Z.wav,479.704,480.7354023,300,9514.9,479.704,KW,KWSR,J,S1,In vessel noise,1
45,AMAR418.1.20180915T220639Z.wav,488.332,489.3018261,1497.7,7815.8,488.332,KW,KWSR,J,S1,In vessel noise,1
46,AMAR418.1.20180915T220639Z.wav,503.627,505.2957166,300,10496.6,503.627,KW,KWSR,J,S1,Multiple calls overlapped. In vessel noise,1
47,AMAR418.1.20180915T220639Z.wav,505.421,507.2128691,300,9049.2,505.421,KW,KWSR,J,S1,In vessel noise,1
48,AMAR418.1.20180915T220639Z.wav,536.184,537.797298,300,9816.9,536.184,KW,KWSR,J,S1,In vessel noise,1
49,AMAR418.1.20180915T220639Z.wav,537.89,540.5332527,300,9653.3,537.89,KW,KWSR,J,S1,Multiple calls overlapped. I don't know what the others are. In vessel noise,1
50,AMAR418.1.20180915T220639Z.wav,552.939,553.7825947,300,5449.7,552.939,KW,KWSR,J,S1,In vessel noise,1
51,AMAR418.1.20180915T220639Z.wav,563.557,566.6771517,300,7173.9,563.557,KW,KWSR,J,S1,Multiple calls overlapped. In vessel noise,1
52,AMAR418.1.20180915T220639Z.wav,602.132,603.0618015,300,3687.6,602.132,KW,KWSR,J,S1,In vessel noise,1
53,AMAR418.1.20180915T220639Z.wav,612.7,613.3509886,300,6355.8,612.7,KW,KWSR,J,S1,Fast. In vessel noise,1
54,AMAR418.1.20180915T220639Z.wav,627.566,628.668215,300,4895.9,627.566,KW,KWSR,J,S1,In vessel noise,1
55,AMAR418.1.20180915T220639Z.wav,646.55,647.3495028,300,3000,646.55,KW,KWSR,J,S1,In vessel noise,1
56,AMAR418.1.20180915T220639Z.wav,666.61,668.7210603,300,5860.7,666.61,KW,KWSR,J,S1,With unknown calls before S1. In vessel noise,1
57,AMAR418.1.20180915T220639Z.wav,677.9846098,678.9913817,300,4278.5,677.985,KW,KWSR,J,S1,In vessel noise,1
58,AMAR418.1.20180915T220639Z.wav,717.3842413,718.3140428,300,5945.9,717.384,KW,KWSR,J,S1,Multiple calls overlapped. Including an S1. In vessel noise,1
59,AMAR418.1.20180915T220639Z.wav,731.6299322,732.9014819,840.2,6708.6,731.63,KW,KWSR,J,S1,In vessel noise,1
60,AMAR418.1.20180915T220639Z.wav,740.25801,741.57,300,5713.3,740.258,KW,KWSR,J,S1,In vessel noise,1
61,AMAR418.1.20180915T220639Z.wav,782.4211871,783.32,300,5648.6,782.421,KW,KWSR,J,S1,In vessel noise,1
62,AMAR418.1.20180915T220639Z.wav,789.6330032,790.8737648,300,10082.3,789.633,KW,KWSR,J,S1,In vessel noise,1
63,AMAR418.1.20180915T220639Z.wav,797.0277054,798.022162,300,6424.2,797.028,KW,KWSR,J,S1,In vessel noise,1
64,AMAR418.1.20180915T220639Z.wav,819.7481476,820.548639,300,6889.5,819.748,KW,KWSR,J,S1,In vessel noise,1
65,AMAR418.1.20180915T220639Z.wav,824.0092325,825.3269645,300,7665.1,824.009,KW,KWSR,J,S1,In vessel noise,1
66,AMAR418.1.20180915T220639Z.wav,906.6120657,907.9667434,300,8787.1,906.612,KW,KWSR,J,S1,In vessel noise,1
67,AMAR418.1.20180915T220639Z.wav,932.6305385,934.169945,300,8165.9,932.631,KW,KWSR,J,S1,In vessel noise,1
68,AMAR418.1.20180915T220639Z.wav,934.7998733,936.1453145,711.8,8230.6,934.8,KW,KWSR,J,S1,In vessel noise,1
69,AMAR418.1.20180915T220639Z.wav,948.9193328,950.1939613,698.8,7622.4,948.919,KW,KWSR,J,S1,In vessel noise,1
70,AMAR418.1.20180915T220639Z.wav,972.7906368,974.1730238,300,10132.9,972.791,KW,KWSR,J,S1,In vessel noise,1
71,AMAR418.1.20180915T220639Z.wav,1015.550489,1016.477212,300,8489.4,1015.55,KW,KWSR,J,S1,Fast. In vessel noise,1
72,AMAR418.1.20180915T220639Z.wav,1052.64,1053.671185,300,7687.1,1052.64,KW,KWSR,J,S1,In vessel noise,1
73,AMAR418.1.20180915T220639Z.wav,1063.26,1064.74,300,7234.1,1063.26,KW,KWSR,J,S1,In vessel noise,1
74,AMAR418.1.20180915T220639Z.wav,1078.4,1080.268475,300,8877.6,1078.4,KW,KWSR,J,S1,Two S1. In vessel noise,1
75,AMAR418.1.20180915T220639Z.wav,1186.193355,1187.34,660,5888.2,1186.193,KW,KWSR,J,S1,In vessel noise,1
76,AMAR418.1.20180915T220639Z.wav,1235.689044,1237.182268,300,8554.1,1235.689,KW,KWSR,J,S1,In vessel noise,1
77,AMAR418.1.20180915T220639Z.wav,542.55,543.4798015,201.4,7186.5,542.55,KW,KWSR,J,S1,In vessel noise,1
78,AMAR418.1.20180915T220639Z.wav,543.881,544.7984863,453.1,6808.9,543.881,KW,KWSR,J,S1,In vessel noise,1
79,AMAR418.1.20190402T085409Z.wav,608.428,609.8534493,100,8297.4,608.4279589,KW,KWSR,J,S1,The pace is like S3 but the frequency contour is like S1,1
80,AMAR418.1.20190402T085409Z.wav,611.015,612.545568,100,7817.5,611.015398,KW,KWSR,J,S1,The pace is like S3 but the frequency contour is like S1,1
81,AMAR418.1.20190402T085409Z.wav,808.693,810.0689584,100,7337.5,808.692729,KW,KWSR,J,S1,,1
82,AMAR418.1.20190402T085409Z.wav,811.706,813.071112,100,5127.4,811.7058544,KW,KWSR,J,S1,,1
83,AMAR418.1.20190402T085409Z.wav,857.791,858.9356433,100,12730.2,857.7906368,KW,KWSR,J,S1,Multiple calls overlapped,1
84,AMAR418.1.20190402T085409Z.wav,880.403,882.2598448,100,13071.2,880.4033206,KW,KWSR,J,S1,Multiple S1 overlapped,1
85,AMAR418.1.20190402T085409Z.wav,888.941,890.2284425,100,6087.3,888.9414986,KW,KWSR,J,S1,End part is missing,1
86,AMAR418.1.20190402T085409Z.wav,929.243,930.8965449,100,10456.9,929.2432223,KW,KWSR,J,S1,,1
87,AMAR418.1.20190402T085409Z.wav,987.8,989.124377,100,7615.4,987.8004875,KW,KWSR,J,S1,,1
88,AMAR418.1.20190402T085409Z.wav,1007,1008.274191,100,9670.3,1006.999999,KW,KWSR,J,S1,Modified S1. The selection bounds were also not around any call.,1
89,AMAR418.1.20190402T085409Z.wav,1016.575,1019.147169,100,9307.7,1016.574593,KW,KWSR,J,S1,"Four overlapped calls: two ""regular"" S1 and two ""variable"" S1",1
90,AMAR418.1.20190402T085409Z.wav,1029.532,1031.379025,100,8150.7,1029.532253,KW,KWSR,J,S1,I think there might be a faint S4 overlapped at the end of the call.,1
91,AMAR418.1.20190402T085409Z.wav,1072.048,1073.157262,100,8119.9,1072.048392,KW,KWSR,J,S1,Fast version,1
92,AMAR418.1.20190402T085409Z.wav,1078.048,1079.491939,100,8779.2,1078.048392,KW,KWSR,J,S1,,1
93,AMAR418.1.20190402T085409Z.wav,1087.54,1088.552422,100,5326.5,1087.540327,KW,KWSR,J,S1,,1
94,AMAR418.1.20190402T085409Z.wav,1103.315,1104.903228,100,7235,1103.314521,KW,KWSR,J,S1,Two overlapped S1 (the first one quite faint),1
95,AMAR418.1.20190402T085409Z.wav,1106.387,1107.669358,100,8171.9,1106.387102,KW,KWSR,J,S1,,1
96,AMAR418.1.20190402T085409Z.wav,1113.26,1114.947583,100,8865.9,1113.26,KW,KWSR,J,S1,Two overlapped calls (I believe the faint one is also S1),1
97,AMAR418.1.20190402T085409Z.wav,1120.806,1122.427419,173.5,7790.2,1120.806454,KW,KWSR,J,S1,,1
98,AMAR418.1.20190402T085409Z.wav,1123.165,1124.955648,100,8258.7,1123.165328,KW,KWSR,J,S1,,1
99,AMAR418.1.20190402T085409Z.wav,1127.069,1128.69,100,9438.5,1127.068554,KW,KWSR,J,S1,,1
100,AMAR418.1.20190402T085409Z.wav,1128.935,1130.729845,100,10253.9,1128.935486,KW,KWSR,J,S1,,1
101,AMAR418.1.20190402T085409Z.wav,1135.25,1137.092744,100,8067.8,1135.25,KW,KWSR,J,S1,,1
102,AMAR418.1.20190402T085409Z.wav,1138.706,1139.887099,100,9369.1,1138.70565,KW,KWSR,J,S1,Overlapped with chirps,1
103,AMAR418.1.20190402T085409Z.wav,1142.339,1144.778227,100,9334.4,1142.338715,KW,KWSR,J,S1,Multiple calls overlapped. At least 2 S1.,1
104,AMAR418.1.20190402T085409Z.wav,1146.73,1148.201615,100,7911.7,1146.729843,KW,KWSR,J,S1,Overlapped with another S1,1
105,AMAR418.1.20190402T085409Z.wav,1147.465,1148.778227,100,5760.3,1147.46501,KW,KWSR,J,S1,Overlapped with another S1,1
106,AMAR418.1.20190402T085409Z.wav,1154.202,1156.4,100,5048.9,1154.20162,KW,KWSR,J,S1,Two faint S1,1
107,AMAR418.1.20190402T085409Z.wav,1156.681,1158.487903,100,9299.7,1156.681454,KW,KWSR,J,S1,Long S1. With a couple of chirps overlapped.,1
108,AMAR418.1.20190402T085409Z.wav,1167.125,1169.491937,100,9091.5,1167.125005,KW,KWSR,J,S1,Multiple calls overlapped. Two S1 and the last one could be the beginning of S1 but missing the ending downsweep.,1
109,AMAR418.1.20190402T085409Z.wav,1177.806,1179.53226,100,8466.9,1177.806456,KW,KWSR,J,S1,Good example,1
110,AMAR418.1.20190402T085409Z.wav,1185.548,1186.447584,100,10479.5,1185.548392,KW,KWSR,J,S1,Quick S1,1
111,AMAR418.1.20190402T085409Z.wav,1189.617,1191.209679,100,8640.4,1189.61694,KW,KWSR,J,S1,,1
112,AMAR418.1.20190402T085409Z.wav,1191.931,1194.286292,100,7946.4,1191.931457,KW,KWSR,J,S1,Two consecutive S1,1
113,AMAR418.1.20190402T085409Z.wav,1202.67,1203.33,100,4580.4,1202.67,KW,KWSR,J,S1,Fast version,1
156,AMAR418.1.20180902T143639Z.wav,1503.895324,1508.889163,4003.5,18424.6,1503.895,UN,,,,Not KW. They soud like whistles but they also seem a bit stereotypical so they could be some sort of sonar.,1
157,AMAR418.1.20180902T143639Z.wav,1510.309119,1513.65887,3624.2,18394.9,1510.309,UN,,,,Not KW. They soud like whistles but they also seem a bit stereotypical so they could be some sort of sonar.,1
158,AMAR418.1.20180902T143639Z.wav,340.6363683,342.9516375,147.5,13000.8,340.636,UN,,,,Super interesting sound though. Rasp and then a loud screech. Capture of a prey?,2
159,AMAR418.1.20180902T143639Z.wav,374.9801438,376.242458,84.3,10640.8,374.98,NN,,,,"Probably a tail slap, pec slap, or even a jump with a big splash",2
160,AMAR418.1.20180902T143639Z.wav,820.1590585,822.0740816,168.6,10156.2,820.159,UN,,,,"I think it could be a KW but it is very bizarre. At any rate, I'd want a detector to find this.",2
161,AMAR418.1.20180907T030639Z.wav,12.57,13.43,100,3000,12.57,NN,,,,Vessel noise,1
162,AMAR418.1.20180907T030639Z.wav,116.5751274,117.2524668,8847.8,9414.2,116.575,Repeat,,,,Not sure what the detector went for here,1
163,AMAR418.1.20180907T030639Z.wav,127.4273443,127.93227,3222,6192.2,127.427,Repeat,,,,Not sure what the detector went for here,1
164,AMAR418.1.20180907T030639Z.wav,258.2983837,259.47,4539,5868,258.298,Repeat,,,,Detector repeat,1
165,AMAR418.1.20180907T030639Z.wav,302.71,303.29,7462.8,8403.3,302.71,Repeat,,,,Detector duplicate,1
166,AMAR418.1.20180907T030639Z.wav,312.52,313.48,8280.7,8853.2,312.52,Repeat,,,,Detector duplicate,1
167,AMAR418.1.20180907T030639Z.wav,573.61,573.9677459,100,10324,573.61,NN,,,,"Sound of a tail or pec slap, or splash from a jump",1
168,AMAR418.1.20180907T030639Z.wav,21.58064236,22.64515766,4691.2,5601.1,21.581,KW,,,,,2
169,AMAR418.1.20180907T030639Z.wav,26.32257414,28.5564504,1759.2,5216.9,26.323,KW,,,,,2
170,AMAR418.1.20180907T030639Z.wav,30.17741687,31.43548041,404.4,5439.3,30.177,KW,,,,,2
171,AMAR418.1.20180907T030639Z.wav,31.72580276,32.14515727,323.5,4630.5,31.726,KW,,,,,2
172,AMAR418.1.20180907T030639Z.wav,32.83064061,33.564511,283.1,7946.7,32.831,KW,,,,,2
173,AMAR418.1.20180907T030639Z.wav,34.0564461,34.77418748,525.7,7784.9,34.056,KW,,,,,2
174,AMAR418.1.20180907T030639Z.wav,35.10483238,35.54838042,667.3,7764.7,35.105,KW,,,,,2
175,AMAR418.1.20180907T030639Z.wav,35.59676748,35.93547689,930.1,7077.2,35.597,KW,,,,,2
176,AMAR418.1.20180907T030639Z.wav,37.05645079,38.49193354,4347.4,5500,37.056,KW,,,,,2
177,AMAR418.1.20180907T030639Z.wav,41.44354413,43.16128473,182,7886,41.444,KW,,,,,2
178,AMAR418.1.20180907T030639Z.wav,46.8064502,48.04032021,1678.3,7198.5,46.806,KW,,,,,2
179,AMAR418.1.20180907T030639Z.wav,48.32257805,49.63709315,202.2,7623.2,48.323,KW,,,,,2
180,AMAR418.1.20180907T030639Z.wav,49.81695981,51.37341021,4387.9,10231.6,49.817,KW,,,,,2
181,AMAR418.1.20180907T030639Z.wav,51.51857138,54.69598826,748.2,6106.6,51.519,KW,,,,,2
182,AMAR418.1.20180907T030639Z.wav,59.87096316,61.25805885,4408.1,5459.6,59.871,KW,,,,,2
183,AMAR418.1.20180907T030639Z.wav,63.46774157,64.9677404,2284.9,4104.8,63.468,KW,,,,,2
184,AMAR418.1.20180907T030639Z.wav,67.93548002,69.71773669,1739,5479.8,67.935,KW,,,,,2
185,AMAR418.1.20180907T030639Z.wav,72.28225784,74.23386922,4569.9,8957.7,72.282,KW,,,,,2
186,AMAR418.1.20180907T030639Z.wav,74.82257844,77.11289923,566.2,5742.6,74.823,KW,,,,,2
187,AMAR418.1.20180907T030639Z.wav,77.22580237,78.75805924,647.1,11020.2,77.226,KW,,,,,2
188,AMAR418.1.20180907T030639Z.wav,85.62096413,88.11289767,5034.9,5823.5,85.621,KW,,,,,2
189,AMAR418.1.20180907T030639Z.wav,88.83063904,90.24999277,343.8,3700.4,88.831,KW,,,,,2
190,AMAR418.1.20180907T030639Z.wav,98.41128375,99.39515395,586.4,7926.5,98.411,KW,,,,,2
191,AMAR418.1.20180907T030639Z.wav,101.024192,101.7419333,303.3,6511,101.024,KW,,,,,2
192,AMAR418.1.20180907T030639Z.wav,102.8870937,103.52419,2284.9,7522.1,102.887,KW,,,,,2
193,AMAR418.1.20180907T030639Z.wav,103.6774157,104.34677,1334.6,19957.7,103.677,KW,,,,,2
194,AMAR418.1.20180907T030639Z.wav,104.4193506,105.5564465,262.9,6915.4,104.419,KW,,,,,2
195,AMAR418.1.20180907T030639Z.wav,106.1612847,106.4596716,424.6,13163.6,106.161,KW,,,,,2
196,AMAR418.1.20180907T030639Z.wav,107.0564453,107.3064451,5439.3,10433.8,107.056,KW,,,,,2
197,AMAR418.1.20180907T030639Z.wav,107.6128965,108.2983798,647.1,5803.3,107.613,KW,,,,,2
198,AMAR418.1.20180907T030639Z.wav,108.5564441,108.87096,5520.2,12597.4,108.556,KW,,,,,2
199,AMAR418.1.20180907T030639Z.wav,109.3951602,110.7177398,1011,7825.4,109.395,KW,,,,,2
200,AMAR418.1.20180907T030639Z.wav,113.2438305,114.3244749,3093.7,4630.5,113.244,KW,,,,,2
201,AMAR418.1.20180907T030639Z.wav,114.7760874,115.5180223,2001.8,5115.8,114.776,KW,,,,,2
202,AMAR418.1.20180907T030639Z.wav,123.7419302,125.1532194,788.6,7602.9,123.742,KW,,,,,2
203,AMAR418.1.20180907T030639Z.wav,125.8306478,127.5161278,1273.9,6733.5,125.831,KW,,,,,2
204,AMAR418.1.20180907T030639Z.wav,136.3387111,138.8870962,2790.4,5783.1,136.339,KW,,,,,2
205,AMAR418.1.20180907T030639Z.wav,141.8306493,143.596777,4731.6,10454,141.831,KW,,,,,2
206,AMAR418.1.20180907T030639Z.wav,149.6612954,151.6129068,1981.6,5641.5,149.661,KW,,,,,2
207,AMAR418.1.20180907T030639Z.wav,153.7419374,155.4354845,3558.8,5176.5,153.742,KW,,,,,2
208,AMAR418.1.20180907T030639Z.wav,155.7016133,157.0241929,647.1,6066.2,155.702,KW,,,,,2
209,AMAR418.1.20180907T030639Z.wav,162.040325,163.1129048,1415.4,6632.4,162.04,KW,,,,,2
210,AMAR418.1.20180907T030639Z.wav,164.7240681,165.7966479,3841.9,9281.2,164.724,KW,,,,,2
211,AMAR418.1.20180907T030639Z.wav,166.4982603,168.3387142,1314.3,8654.4,166.498,KW,,,,,2
212,AMAR418.1.20180907T030639Z.wav,168.8951654,169.8790356,404.4,8492.6,168.895,KW,,,,,2
213,AMAR418.1.20180907T030639Z.wav,170.6370995,171.7661309,1779.4,7137.9,170.637,KW,,,,,2
214,AMAR418.1.20180907T030639Z.wav,181.5564529,182.5806456,829,5985.3,181.556,KW,,,,,2
215,AMAR418.1.20180907T030639Z.wav,183.6209674,184.9838696,1759.2,4226.1,183.621,KW,,,,,2
216,AMAR418.1.20180907T030639Z.wav,194.0322636,197.0887129,4367.6,5500,194.032,KW,,,,,2
217,AMAR418.1.20180907T030639Z.wav,197.5000029,199.3145176,1051.5,6349.3,197.5,KW,,,,,2
218,AMAR418.1.20180907T030639Z.wav,199.6129044,201.8145156,1253.7,8937.5,199.613,KW,,,,,2
219,AMAR418.1.20180907T030639Z.wav,204.3225852,204.967746,546,9180.1,204.323,KW,,,,,2
220,AMAR418.1.20180907T030639Z.wav,205.1290362,206.3548417,1799.6,5318,205.129,KW,,,,,2
221,AMAR418.1.20180907T030639Z.wav,206.9193574,208.7741946,1253.7,6086.4,206.919,KW,,,,,2
222,AMAR418.1.20180907T030639Z.wav,209.1370976,210.6370964,748.2,5318,209.137,KW,,,,,2
223,AMAR418.1.20180907T030639Z.wav,210.8870962,211.9516115,3194.9,5257.4,210.887,KW,,,,,2
224,AMAR418.1.20180907T030639Z.wav,213.9758105,215.991938,465.1,5803.3,213.976,KW,,,,,2
225,AMAR418.1.20180907T030639Z.wav,227.5000005,229.2741927,3902.6,5783.1,227.5,KW,,,,,2
226,AMAR418.1.20180907T030639Z.wav,239.1129087,239.8951662,242.6,9968.8,239.113,KW,,,,,2
227,AMAR418.1.20180907T030639Z.wav,247.153225,249.8145203,3639.7,5621.3,247.153,KW,,,,,2
228,AMAR418.1.20180907T030639Z.wav,252.7070314,254.440901,384.2,5722.4,252.707,KW,,,,,2
229,AMAR418.1.20180907T030639Z.wav,256.1451612,257.7177406,626.8,7623.2,256.145,KW,,,,,2
230,AMAR418.1.20180907T030639Z.wav,260.4516094,261.9274147,566.2,7137.9,260.452,KW,,,,,2
231,AMAR418.1.20180907T030639Z.wav,262.2661241,264.4112838,626.8,10312.5,262.266,KW,,,,,2
232,AMAR418.1.20180907T030639Z.wav,264.7257996,265.5080571,1961.4,4954,264.726,KW,,,,,2
233,AMAR418.1.20180907T030639Z.wav,265.3306449,267.3629014,2851.1,7764.7,265.331,KW,,,,,2
234,AMAR418.1.20180907T030639Z.wav,273.1612902,276.274191,505.5,6126.8,273.161,KW,,,,,2
235,AMAR418.1.20180907T030639Z.wav,276.3387071,278.4032216,4468.8,5439.3,276.339,KW,,,,,2
236,AMAR418.1.20180907T030639Z.wav,278.6774149,279.7499947,424.6,3296,278.677,KW,,,,,2
237,AMAR418.1.20180907T030639Z.wav,280.4435426,281.3790257,687.5,5601.1,280.444,KW,,,,,2
238,AMAR418.1.20180907T030639Z.wav,284.2258047,285.7338681,384.2,5439.3,284.226,KW,,,,,2
239,AMAR418.1.20180907T030639Z.wav,286.2483784,287.6354741,141.5,10777.6,286.248,KW,,,,,2
240,AMAR418.1.20180907T030639Z.wav,287.7564417,288.1919253,202.2,20119.5,287.756,KW,,,,,2
241,AMAR418.1.20180907T030639Z.wav,288.1838608,288.9903117,3922.8,8371.3,288.184,KW,,,,,2
242,AMAR418.1.20180907T030639Z.wav,289.0790214,290.845149,384.2,5884.2,289.079,KW,,,,,2
243,AMAR418.1.20180907T030639Z.wav,304.491932,305.6370924,626.8,3720.6,304.492,KW,,,,,2
244,AMAR418.1.20180907T030639Z.wav,311.0483832,312.4032208,3902.6,9827.2,311.048,KW,,,,,2
245,AMAR418.1.20180907T030639Z.wav,333.221767,334.915314,4205.9,5075.4,333.222,KW,,,,,2
246,AMAR418.1.20180907T030639Z.wav,335.5201523,337.1572478,4549.6,5176.5,335.52,KW,,,,,2
247,AMAR418.1.20180907T030639Z.wav,344.1895074,345.5524095,4650.7,5419.1,344.19,KW,,,,,2
248,AMAR418.1.20180907T030639Z.wav,346.1330542,347.9153109,4529.4,5095.6,346.133,KW,,,,,2
249,AMAR418.1.20180907T030639Z.wav,348.6653174,351.8669278,4125,5702.2,348.665,KW,,,,,2
250,AMAR418.1.20180907T030639Z.wav,353.1572493,353.5604748,3821.7,4286.8,353.157,KW,,,,,2
251,AMAR418.1.20180907T030639Z.wav,354.1733776,355.1733768,3761,4307,354.173,KW,,,,,2
252,AMAR418.1.20180907T030639Z.wav,355.794344,356.6491821,3801.5,4408.1,355.794,KW,,,,,2
253,AMAR418.1.20180907T030639Z.wav,363.8185384,366.7943495,3215.1,4023.9,363.819,KW,,,,,2
254,AMAR418.1.20180907T030639Z.wav,373.8427311,375.2620919,202.2,23597.4,373.843,KW,,,,,2
255,AMAR418.1.20180907T030639Z.wav,376.0040219,378.5443425,647.1,8432,376.004,KW,,,,,2
256,AMAR418.1.20180907T030639Z.wav,389.7862833,391.2459596,4003.7,10454,389.786,KW,,,,,2
257,AMAR418.1.20180907T030639Z.wav,391.7862817,393.1330549,2466.9,5621.3,391.786,KW,,,,,2
258,AMAR418.1.20180907T030639Z.wav,402.5040223,403.1733766,4610.3,5257.4,402.504,KW,,,,,2
259,AMAR418.1.20180907T030639Z.wav,403.7136988,404.7540206,3943,8937.5,403.714,KW,,,,,2
260,AMAR418.1.20180907T030639Z.wav,423.6895107,427.7217656,3477.9,6086.4,423.69,KW,,,,,2
261,AMAR418.1.20180907T030639Z.wav,483.220926,487.1080197,3033.1,9038.6,483.221,KW,,,,,2
262,AMAR418.1.20180907T030639Z.wav,538.0886965,539.1451473,707.7,2163.6,538.089,KW,,,,,2
